user,timestamp,text
Alice,2024-05-14 10:00,"Bonjour, comment ça va ?"
Bob,2024-05-14 10:01,"Salut Alice, je vais bien et toi ?"
"Alice","2024-05-14 10:02","Je vais bien aussi, merci !"
"Bob","2024-05-14 10:05","Prêt pour la réunion de demain ?"
"Alice","2024-05-14 10:07","Tout est prêt, à demain !"
"Choucroute","2024-05-14 11:07","Ce n'est pas logique !"2024-05-16_23-59-22,./templates/recordings/lhbp_app2/2024-05-16_23-59-22.mp3," N, C, A, to C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C"
2024-05-16_23-59-25,./templates/recordings/lhbp_app2/2024-05-16_23-59-25.mp3, This is permanent
2024-05-16_23-59-35,./templates/recordings/lhbp_app2/2024-05-16_23-59-35.mp3," I have a question, I have a question, I'm sorry."
2024-05-16_23-59-39,./templates/recordings/lhbp_app2/2024-05-16_23-59-39.mp3, We all be above the B.
2024-05-16_23-59-43,./templates/recordings/lhbp_app2/2024-05-16_23-59-43.mp3," Yes, she is the best uncle of all, she is an old wife."
2024-05-16_23-59-46,./templates/recordings/lhbp_app2/2024-05-16_23-59-46.mp3," One Cessna's mutual energy, here's my......Pobai."
2024-05-16_23-59-48,./templates/recordings/lhbp_app2/2024-05-16_23-59-48.mp3,.
2024-05-16_23-59-54,./templates/recordings/lhbp_app2/2024-05-16_23-59-54.mp3, She does a lot of she doesn't.
2024-05-16_23-59-56,./templates/recordings/lhbp_app2/2024-05-16_23-59-56.mp3," If not, see you in the before"
2024-05-17_00-00-56,./templates/recordings/lhbp_app2/2024-05-17_00-00-56.mp3," 35K, I'm steady, but I'm steady, yeah"
2024-05-17_00-01-00,./templates/recordings/lhbp_app2/2024-05-17_00-01-00.mp3, You're still feeling 0 to 5J 8
2024-05-17_00-01-17,./templates/recordings/lhbp_app2/2024-05-17_00-01-17.mp3," But the shim is just like a kid, the W, the chai is just like shim."
2024-05-17_00-01-19,./templates/recordings/lhbp_app2/2024-05-17_00-01-19.mp3, Space Force
2024-05-17_00-01-23,./templates/recordings/lhbp_app2/2024-05-17_00-01-23.mp3, Shmoop Dog
2024-05-17_00-01-46,./templates/recordings/lhbp_app2/2024-05-17_00-01-46.mp3," That is only a 5, he is going to go flushing 6, like a 9, 7, 7, 8, 4, that is 2, 0."
2024-05-17_00-01-50,./templates/recordings/lhbp_app2/2024-05-17_00-01-50.mp3," The most talented hero, Cessna Vllechon Bagnish, to the client of the entire country."
2024-05-17_00-01-51,./templates/recordings/lhbp_app2/2024-05-17_00-01-51.mp3,.
2024-05-17_00-01-53,./templates/recordings/lhbp_app2/2024-05-17_00-01-53.mp3," Time to clear corrects us off shooting my strategy, goodly."
2024-05-17_00-01-56,./templates/recordings/lhbp_app2/2024-05-17_00-01-56.mp3," Shri Mataji, Laijna, Laijna,"
2024-05-17_00-01-58,./templates/recordings/lhbp_app2/2024-05-17_00-01-58.mp3, You said my mommy has my own.
2024-05-17_00-01-59,./templates/recordings/lhbp_app2/2024-05-17_00-01-59.mp3, Thanks for watching!
2024-05-17_00-02-23,./templates/recordings/lhbp_app2/2024-05-17_00-02-23.mp3," My name is H.J. Arreavos, precystubasi"
2024-05-17_00-02-28,./templates/recordings/lhbp_app2/2024-05-17_00-02-28.mp3, Thank you.
2024-05-17_00-02-29,./templates/recordings/lhbp_app2/2024-05-17_00-02-29.mp3," For the food, right at night."
2024-05-17_00-02-31,./templates/recordings/lhbp_app2/2024-05-17_00-02-31.mp3, We have a metric in the market
2024-05-17_00-02-36,./templates/recordings/lhbp_app2/2024-05-17_00-02-36.mp3," diameter 57N, you can make more sounds than speed"
2024-05-17_00-02-38,./templates/recordings/lhbp_app2/2024-05-17_00-02-38.mp3," 4K speed, then I see it in the..."
2024-05-17_00-03-11,./templates/recordings/lhbp_app2/2024-05-17_00-03-11.mp3," 585, 085, 719a, who..."
2024-05-17_00-03-14,./templates/recordings/lhbp_app2/2024-05-17_00-03-14.mp3," Shreinfaksehnavam nai shirukumah, hai shirukum."
2024-05-17_00-03-32,./templates/recordings/lhbp_app2/2024-05-17_00-03-32.mp3," It is not directed, 6.5."
2024-05-17_00-03-35,./templates/recordings/lhbp_app2/2024-05-17_00-03-35.mp3," This is A6000, S. S. S."
2024-05-17_00-04-30,./templates/recordings/lhbp_app2/2024-05-17_00-04-30.mp3, Thank you.
2024-05-17_00-04-37,./templates/recordings/lhbp_app2/2024-05-17_00-04-37.mp3," Hi, so let's go mount Hello Rida Cinder, Cessna Cinder half, and C can age 101."
2024-05-17_00-04-44,./templates/recordings/lhbp_app2/2024-05-17_00-04-44.mp3, Uh-uh.
2024-05-17_00-04-44,./templates/recordings/lhbp_app2/2024-05-17_00-04-44.mp3,.
