user,timestamp,text
Alice,2024-05-14 10:00,"Bonjour, comment ça va ?"
Bob,2024-05-14 10:01,"Salut Alice, je vais bien et toi ?"
"Alice","2024-05-14 10:02","Je vais bien aussi, merci !"
"Bob","2024-05-14 10:05","Prêt pour la réunion de demain ?"
"Alice","2024-05-14 10:07","Tout est prêt, à demain !"
"Choucroute","2024-05-14 11:07","Ce n'est pas logique !"2024-05-17_10-06-25,./templates/recordings/ehle_dutchmil/2024-05-17_10-06-25.mp3, Thank you.
2024-05-17_10-06-48,./templates/recordings/ehle_dutchmil/2024-05-17_10-06-48.mp3, Lewis.
2024-05-17_10-06-58,./templates/recordings/ehle_dutchmil/2024-05-17_10-06-58.mp3, advertising also.
2024-05-17_10-07-12,./templates/recordings/ehle_dutchmil/2024-05-17_10-07-12.mp3," 7 0 E, send the shield back."
2024-05-17_10-07-37,./templates/recordings/ehle_dutchmil/2024-05-17_10-07-37.mp3, Cessna 0ic3l
2024-05-17_10-07-42,./templates/recordings/ehle_dutchmil/2024-05-17_10-07-42.mp3, It's a...
2024-05-17_10-07-50,./templates/recordings/ehle_dutchmil/2024-05-17_10-07-50.mp3," 7 0 E, C, 9 0, 9 0"
2024-05-17_10-07-54,./templates/recordings/ehle_dutchmil/2024-05-17_10-07-54.mp3, 9 to do so
2024-05-17_10-08-54,./templates/recordings/ehle_dutchmil/2024-05-17_10-08-54.mp3, if the other identified level 100
2024-05-17_10-09-01,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-01.mp3," So, yeah, this is us."
2024-05-17_10-09-07,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-07.mp3, This is...
2024-05-17_10-09-35,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-35.mp3," to EKO, unable to continue this heading into an Amsterdam approach airspace, so the KSPE, if you Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y"
2024-05-17_10-09-48,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-48.mp3, There is no other way to do that. There is no other way to do that.
2024-05-17_10-09-57,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-57.mp3, River
2024-05-17_10-09-59,./templates/recordings/ehle_dutchmil/2024-05-17_10-09-59.mp3, That's fair condition
2024-05-17_10-10-06,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-06.mp3," It is a headless, if it is elevated, system may get some maddens off the path of that."
2024-05-17_10-10-11,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-11.mp3," N.A.M.T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
2024-05-17_10-10-18,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-18.mp3, Kansas
2024-05-17_10-10-24,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-24.mp3, And see you with Cessna
2024-05-17_10-10-32,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-32.mp3," 3 6 0 7 8 1 1 2 4 5 3 0, but my"
2024-05-17_10-10-40,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-40.mp3, You
2024-05-17_10-10-42,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-42.mp3, Cessna Cessna Cessna
2024-05-17_10-10-45,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-45.mp3,.
2024-05-17_10-10-48,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-48.mp3, Cessna
2024-05-17_10-10-52,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-52.mp3," Yes, sir, there is no serious 0 in past U."
2024-05-17_10-10-56,./templates/recordings/ehle_dutchmil/2024-05-17_10-10-56.mp3," Wait, don't see please"
